,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.155,0.247,0.002,0.002
1,ECL_96_336,0.171,0.265,0.002,0.003
2,ECL_96_720,0.2,0.293,0.006,0.005
3,ECL_96_96,0.135,0.228,0.001,0.001
4,ETTh1_96_192,0.437,0.433,0.006,0.004
5,ETTh1_96_336,0.476,0.451,0.003,0.001
6,ETTh1_96_720,0.488,0.479,0.01,0.008
7,ETTh1_96_96,0.381,0.4,0.003,0.001
8,ETTh2_96_192,0.375,0.396,0.003,0.002
9,ETTh2_96_336,0.421,0.432,0.013,0.005
10,ETTh2_96_720,0.431,0.447,0.017,0.006
11,ETTh2_96_96,0.298,0.347,0.006,0.004
12,ETTm1_96_192,0.368,0.384,0.004,0.003
13,ETTm1_96_336,0.41,0.412,0.011,0.005
14,ETTm1_96_720,0.46,0.446,0.006,0.003
15,ETTm1_96_96,0.32,0.358,0.007,0.007
16,ETTm2_96_192,0.249,0.306,0.01,0.006
17,ETTm2_96_336,0.31,0.345,0.003,0.004
18,ETTm2_96_720,0.409,0.403,0.006,0.002
19,ETTm2_96_96,0.179,0.261,0.002,0.004
20,PEMS03_96_12,0.066,0.169,0.006,0.01
21,PEMS03_96_24,0.076,0.179,0.001,0.001
22,PEMS03_96_48,0.102,0.209,0.003,0.002
23,PEMS03_96_96,0.142,0.247,0.027,0.029
24,PEMS04_96_12,0.071,0.174,0.009,0.017
25,PEMS04_96_24,0.08,0.184,0.002,0.002
26,PEMS04_96_48,0.096,0.204,0.008,0.013
27,PEMS04_96_96,0.111,0.218,0.004,0.004
28,PEMS07_96_12,0.056,0.149,0.001,0.001
29,PEMS07_96_24,0.071,0.17,0.005,0.007
30,PEMS07_96_48,0.08,0.173,0.005,0.009
31,PEMS07_96_96,0.097,0.189,0.003,0.006
32,PEMS08_96_12,0.071,0.17,0.001,0.003
33,PEMS08_96_24,0.1,0.202,0.011,0.015
34,PEMS08_96_48,0.12,0.212,0.001,0.003
35,PEMS08_96_96,0.203,0.247,0.015,0.018
36,solar_96_192,0.228,0.255,0.001,0.001
37,solar_96_336,0.239,0.268,0.002,0.002
38,solar_96_720,0.243,0.272,0.002,0.002
39,solar_96_96,0.198,0.227,0.003,0.002
40,traffic_96_192,0.4,0.261,0.003,0.001
41,traffic_96_336,0.417,0.269,0.002,0.0
42,traffic_96_720,0.455,0.288,0.005,0.001
43,traffic_96_96,0.377,0.25,0.002,0.0
44,weather_96_192,0.212,0.25,0.003,0.002
45,weather_96_336,0.274,0.296,0.003,0.002
46,weather_96_720,0.35,0.346,0.002,0.002
47,weather_96_96,0.166,0.206,0.005,0.004
